Season,Player,Chosen Fighter,Opponent,Odds,W_L,Fight Length,Result,Weight Class,Fight Location,M_F,Ref
Season 02,Taylan,Montel Jackson,Rani Yahya,-600,W, 222:00,Round 1 TKO,Bantamweight,Prelim,M,K. Peterson
Season 02,Taylan,Jamey-Lyn Horth,Hailey Cowan,-160,W, 900:00,UD,Catchweight,Prelim,F,C. Tognoni
Season 02,Taylan,Movsar Evloev,Diego Lopes,-1000,W, 900:00,UD,Featherweight,Main Card,M,K. Peterson
Season 02,Taylan,Carlos Ulberg,Ihor Potieria,-450,W, 129:00,Round 1 TKO,Light Heavyweight,Main Card,M,K. Peterson
Season 02,Taylan,Natalia Silva,Victoria Leonardo,-1000,W, 178:00,Round 1 TKO,Flyweight (W),Prelim,F,K. Hatley
Season 02,Taylan,Jaime Mullarkey,Muhammad Naimov,-450,L, 479:00,Round 2 TKO,Lightweight,Prelim,M,H. Dean
Season 03,Aaron,Brendan Allen,Bruno Silva,-200,W, 279:00,Round 1 Sub,Middleweight,Main Card,M,M. Goddard
Season 03,Aaron,Grant Dawson,Damir Ismagulov,-110,W, 900:00,UD,Lightweight,Main Card,M,H. Dean
Season 03,Aaron,Robert Whittaker,Dricus Du Plessis,-350,L, 443:00,Round 2 TKO,Middleweight,Main Card,M,M. Goddard
Season 03,Alex,Randy Brown,Wellington Thurman,-230,W, 900:00,UD,Welterweight,Prelim,M,A. Glenn
Season 03,Alex,Joanderson Brito,Weslin Wilson,-1400,W, 174:00,Round 1 TKO,Featherweight,Prelim,M,C. Tognoni
Season 03,Alex,Tatsuro Taira,Edgar Chairez,-900,W, 900:00,UD,Catchweight,Prelim,M,H. Dean
Season 03,Alex,Azat Maksum,Tyson Nam,-420,W, 900:00,SD,Flyweight,Prelim,M,K. Peterson
Season 03,Alex,Tom Aspinall,Marcin Tybura,-475,W, 73:00,Round 1 TKO,Heavyweight,Main Card,M,M. Goddard
Season 03,Alex,Gabriel Bonfim,Trevin Giles,-350,W, 73:00,Round 1 Sub,Welterweight,Prelim,M,H. Dean
Season 03,Alex,Cory Sandhagen,Rob Font,-350,W, 1500:00,UD,Catchweight,Main Card,M,J. Herzog
Season 03,Alex,Hakeem Dawodu,Cub Swanson,-225,L, 900:00,UD,Featherweight,Main Card,M,J. Herzog
Season 03,Chika,Ilia Topuria,Josh Emmett,-340,W, 1500:00,UD,Featherweight,Main Card,M,M. Goddard
Season 03,Chika,Ismael Bonfim,Benoit Saint-Denis,-320,L, 288:00,Round 1 Sub,Lightweight,Main Card,M,H. Dean
Season 03,Daniel,Ilia Topuria,Josh Emmett,-340,W, 1500:00,UD,Featherweight,Main Card,M,M. Goddard
Season 03,Daniel,Joanderson Brito,Weslin Wilson,-1400,W, 174:00,Round 1 TKO,Featherweight,Prelim,M,C. Tognoni
Season 03,Daniel,Bo Nickal,Val Woodburn,-1600,W, 38:00,Round 1 TKO,Middleweight,Main Card,M,C. Tognoni
Season 03,Daniel,Jack Della Maddalena,Bassil Hafez,-575,W, 900:00,SD,Welterweight,Main Card,M,M. Smith
Season 03,Daniel,Tom Aspinall,Marcin Tybura,-475,W, 73:00,Round 1 TKO,Heavyweight,Main Card,M,M. Goddard
Season 03,Daniel,Gabriel Bonfim,Trevin Giles,-350,W, 73:00,Round 1 Sub,Welterweight,Prelim,M,H. Dean
